"CVE","CvrfDocument","LastRevisionDate","FullProductName","Article","Severity","Impact","Title","Supercedence"
"CVE-2018-8553","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server 2012 (Server Core installation)","4467678","Critical","Remote Code Execution","Microsoft Graphics Components Remote Code Execution Vulnerability",
"CVE-2018-8554","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1803 for 32-bit Systems","4467702","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462919"
"CVE-2018-8554","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1803 for x64-based Systems","4467702","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462919"
"CVE-2018-8554","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server, version 1803  (Server Core Installation)","4467702","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462919"
"CVE-2018-8554","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1809 for 32-bit Systems","4467708","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4464330"
"CVE-2018-8554","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1809 for x64-based Systems","4467708","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4464330"
"CVE-2018-8554","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1809 for ARM64-based Systems","4467708","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4464330"
"CVE-2018-8554","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server 2019","4467708","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4464330"
"CVE-2018-8554","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server 2019  (Server Core installation)","4467708","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4464330"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1709 for ARM64-based Systems","4467686","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462918"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1709 for 32-bit Systems","4467686","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462918"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1709 for x64-based Systems","4467686","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462918"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server, version 1709  (Server Core Installation)","4467686","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462918"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1803 for ARM64-based Systems","4467702","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability",
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1803 for 32-bit Systems","4467702","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability",
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1803 for x64-based Systems","4467702","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability",
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server, version 1803  (Server Core Installation)","4467702","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability",
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1703 for 32-bit Systems","4467696","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462937"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1703 for x64-based Systems","4467696","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462937"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 for 32-bit Systems","4467680","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462922"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 for x64-based Systems","4467680","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462922"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1607 for 32-bit Systems","4467691","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462917"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1607 for x64-based Systems","4467691","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462917"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server 2016","4467691","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462917"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server 2016  (Server Core installation)","4467691","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462917"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 8.1 for 32-bit systems","4467697","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462926"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 8.1 for x64-based systems","4467697","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462926"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows RT 8.1","4467697","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462926"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server 2012 R2","4467697","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462926"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server 2012 R2 (Server Core installation)","4467697","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462926"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 8.1 for 32-bit systems","4467703","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability",
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 8.1 for x64-based systems","4467703","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability",
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server 2012 R2","4467703","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability",
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server 2012 R2 (Server Core installation)","4467703","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability",
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server 2012","4467701","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462929"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server 2012 (Server Core installation)","4467701","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4462929"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server 2012","4467678","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability",
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server 2012 (Server Core installation)","4467678","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability",
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1809 for 32-bit Systems","4467708","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4464330"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1809 for x64-based Systems","4467708","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4464330"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1809 for ARM64-based Systems","4467708","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4464330"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server 2019","4467708","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4464330"
"CVE-2018-8561","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server 2019  (Server Core installation)","4467708","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4464330"
"CVE-2018-8562","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1703 for 32-bit Systems","4467696","Important","Elevation of Privilege","Win32k Elevation of Privilege Vulnerability","4462937"
"CVE-2018-8562","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1703 for x64-based Systems","4467696","Important","Elevation of Privilege","Win32k Elevation of Privilege Vulnerability","4462937"
"CVE-2018-8562","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1803 for 32-bit Systems","4467702","Important","Elevation of Privilege","Win32k Elevation of Privilege Vulnerability","4462919"
"CVE-2018-8562","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1803 for x64-based Systems","4467702","Important","Elevation of Privilege","Win32k Elevation of Privilege Vulnerability","4462919"
"CVE-2018-8562","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server, version 1803  (Server Core Installation)","4467702","Important","Elevation of Privilege","Win32k Elevation of Privilege Vulnerability","4462919"
"CVE-2018-8562","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1803 for ARM64-based Systems","4467702","Important","Elevation of Privilege","Win32k Elevation of Privilege Vulnerability","4462919"
"CVE-2018-8562","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1709 for 32-bit Systems","4467686","Important","Elevation of Privilege","Win32k Elevation of Privilege Vulnerability","4462918"
"CVE-2018-8562","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1709 for x64-based Systems","4467686","Important","Elevation of Privilege","Win32k Elevation of Privilege Vulnerability","4462918"
"CVE-2018-8562","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server, version 1709  (Server Core Installation)","4467686","Important","Elevation of Privilege","Win32k Elevation of Privilege Vulnerability","4462918"
"CVE-2018-8562","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1709 for ARM64-based Systems","4467686","Important","Elevation of Privilege","Win32k Elevation of Privilege Vulnerability","4462918"
"CVE-2018-8562","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 for 32-bit Systems","4467680","Important","Elevation of Privilege","Win32k Elevation of Privilege Vulnerability","4462922"
"CVE-2018-8562","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 for x64-based Systems","4467680","Important","Elevation of Privilege","Win32k Elevation of Privilege Vulnerability","4462922"
"CVE-2018-8562","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1607 for 32-bit Systems","4467691","Important","Elevation of Privilege","Win32k Elevation of Privilege Vulnerability","4462917"
"CVE-2018-8562","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 10 Version 1607 for x64-based Systems","4467691","Important","Elevation of Privilege","Win32k Elevation of Privilege Vulnerability","4462917"
"CVE-2018-8562","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server 2016","4467691","Important","Elevation of Privilege","Win32k Elevation of Privilege Vulnerability","4462917"
"CVE-2018-8562","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server 2016  (Server Core installation)","4467691","Important","Elevation of Privilege","Win32k Elevation of Privilege Vulnerability","4462917"
"CVE-2018-8562","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 7 for 32-bit Systems Service Pack 1","4467107","Important","Elevation of Privilege","Win32k Elevation of Privilege Vulnerability","4462923"
"CVE-2018-8562","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows 7 for x64-based Systems Service Pack 1","4467107","Important","Elevation of Privilege","Win32k Elevation of Privilege Vulnerability","4462923"
"CVE-2018-8562","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1","4467107","Important","Elevation of Privilege","Win32k Elevation of Privilege Vulnerability","4462923"
"CVE-2018-8562","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1","4467107","Important","Elevation of Privilege","Win32k Elevation of Privilege Vulnerability","4462923"
"CVE-2018-8562","November 2018 Security Updates","2018-11-13T08:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation)","4467107","Important","Elevation of Privilege","Win32k Elevation of Privilege Vulnerability","4462923"
